number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
258,243,238,114,193,202,168,281,194,255,303,201,323,273,241,259,243,329,168,397,42,500,294,324,332,379,459,551,251,185,
258,243,237,113,192,202,169,279,189,256,303,201,322,273,238,259,243,329,164,399,34,501,293,324,331,379,455,551,250,185,
257,243,235,113,192,201,170,278,186,256,302,201,320,272,235,260,243,328,159,401,24,501,293,324,329,378,449,551,250,185,
257,243,233,113,192,201,171,278,184,260,302,201,318,272,233,262,242,328,154,402,15,502,292,324,326,378,441,551,250,185,
256,243,231,112,191,201,173,278,179,263,301,200,315,272,231,267,242,328,147,405,4,508,291,324,325,378,438,550,248,185,
255,243,229,112,191,201,175,277,175,268,299,199,312,273,227,271,242,328,144,409,-2,514,291,324,325,378,438,550,246,184,
253,243,225,111,189,201,177,272,177,273,295,198,309,276,220,277,241,328,142,417,-8,536,290,324,325,377,444,546,243,184,
251,243,222,110,187,202,178,270,178,277,293,198,306,279,216,282,241,328,142,420,-10,563,289,325,326,376,456,543,241,184,
250,244,217,109,185,203,177,268,177,284,291,197,304,279,216,288,241,328,144,427,-10,594,288,325,328,376,469,543,238,184,
245,245,212,108,181,204,171,268,175,287,286,197,299,275,217,295,236,330,144,433,-127,779,284,327,337,375,540,538,234,183,
240,245,206,106,176,204,164,273,175,288,282,196,292,268,219,301,233,332,143,437,-253,958,280,328,351,372,540,536,230,183,
236,245,200,104,171,205,156,275,166,290,276,194,284,261,220,307,230,333,142,439,-389,1162,277,329,368,367,487,528,225,181,
236,245,195,103,170,205,155,276,164,291,274,193,280,261,220,310,230,333,141,439,-420,1217,277,329,381,358,432,519,223,180,
235,244,192,101,167,206,153,276,162,292,271,192,277,260,217,312,232,333,140,439,-451,1217,277,328,390,352,316,513,221,179,
234,242,189,100,166,206,152,277,160,293,268,191,275,260,215,313,233,333,139,441,-620,1437,278,327,400,347,316,515,219,178,
233,241,187,99,164,207,150,277,158,293,265,190,274,260,213,314,233,334,136,442,-877,1756,279,326,405,344,321,514,217,177,
233,241,186,98,163,207,149,277,156,293,264,190,273,260,211,316,234,334,133,444,-1104,2032,280,326,406,341,322,515,215,175,
233,240,185,97,163,207,147,277,154,293,263,190,273,261,210,317,234,334,132,444,-1176,2096,280,326,406,340,322,517,215,175,
233,240,184,97,163,207,146,277,153,294,263,190,273,261,209,318,234,334,131,444,-1176,2096,280,326,403,338,320,519,215,175,
233,239,184,96,164,206,145,277,152,294,263,190,273,262,208,319,235,334,131,442,-1113,1982,281,326,398,338,316,520,215,174,
234,239,184,96,164,206,144,277,151,294,263,190,273,263,207,320,237,334,130,442,-1057,1885,282,326,397,337,315,521,215,174,
234,238,184,95,164,206,144,277,151,294,263,190,274,264,206,321,237,334,129,442,-1057,1885,283,326,397,336,315,522,215,173,
234,238,184,95,164,206,144,278,151,296,263,190,275,264,205,321,237,332,128,442,-1123,1948,283,326,397,336,316,522,215,172,
234,237,185,95,164,205,144,279,151,297,264,190,276,264,205,322,236,331,126,442,-1248,2100,284,326,397,336,316,522,215,171,
234,237,185,94,164,205,144,279,151,298,264,190,277,264,205,322,235,329,124,443,-1407,2296,284,326,382,322,310,515,215,171,
234,236,185,94,164,205,144,280,151,299,264,190,278,264,205,322,234,329,123,443,-1497,2405,285,326,368,307,305,508,215,170,
234,236,185,93,164,205,144,279,151,298,264,190,278,264,205,322,234,329,122,444,-1573,2495,285,326,357,298,299,507,215,170,
233,236,184,92,162,205,144,279,151,298,263,190,279,265,205,323,233,329,120,445,-1756,2718,284,326,357,298,299,507,214,170,
231,236,182,92,160,205,144,280,151,299,263,190,279,266,204,325,232,330,118,446,-2058,3090,284,327,363,304,301,514,212,170,
230,237,179,92,158,206,143,280,150,299,262,190,279,267,204,326,231,330,117,448,-2430,3566,283,328,370,311,303,522,210,170,
229,237,177,92,158,206,141,280,148,299,262,190,278,267,204,327,230,331,117,450,-2707,3939,283,329,383,324,310,530,209,170,
229,237,175,92,158,207,140,280,145,299,261,190,277,267,203,328,230,331,117,451,-2885,4209,283,329,394,337,315,537,208,170,
229,237,175,92,157,207,139,280,144,299,261,190,276,267,202,328,229,331,117,452,-3045,4460,283,329,405,348,320,542,208,170,
228,237,173,92,155,207,137,280,142,298,260,189,276,267,201,328,229,331,118,452,-3211,4723,282,329,406,348,321,542,207,170,
227,237,171,92,152,207,136,280,140,298,259,189,275,267,200,329,228,332,119,454,-3539,5281,282,329,406,348,325,543,206,170,
225,237,169,92,148,207,134,280,138,298,257,189,275,267,200,329,228,332,122,456,-3982,6129,281,328,407,349,693,572,203,170,
224,237,166,92,146,207,132,281,136,297,255,189,274,268,200,329,227,332,125,458,-4428,7017,281,328,407,347,693,572,201,170,
222,238,163,92,144,208,131,281,135,297,253,189,273,269,199,330,226,332,127,459,-4802,7802,280,328,389,337,688,572,199,171,
221,238,162,92,142,208,131,281,134,298,251,189,273,269,198,330,226,332,127,461,-5267,8641,280,328,371,327,682,572,197,171,
219,238,160,92,141,208,128,281,131,299,250,189,273,270,197,330,224,332,127,464,-7521,12173,279,328,315,327,290,573,196,171,
