number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
224,243,189,95,143,204,129,283,118,339,285,181,346,232,359,308,211,331,325,398,514,487,268,321,396,347,306,438,212,178,
228,245,197,98,149,205,133,283,119,338,289,185,348,236,357,309,213,331,329,407,505,495,270,323,394,347,306,438,218,181,
231,245,205,101,153,205,139,282,119,333,292,187,349,238,356,310,215,330,336,407,504,495,271,323,394,345,308,440,223,182,
235,244,210,103,159,205,143,281,119,330,296,188,351,240,355,311,218,329,336,416,495,507,273,323,393,343,313,444,227,182,
238,243,217,104,164,205,147,281,122,328,298,189,353,242,355,311,221,328,293,425,370,554,275,323,391,342,316,447,231,182,
241,243,223,107,171,206,151,281,122,328,303,191,357,244,356,308,223,328,244,423,254,586,277,323,388,342,316,447,235,182,
244,243,228,109,175,207,154,281,128,331,306,193,360,246,358,305,224,327,197,424,137,602,278,323,384,343,313,446,238,183,
247,243,235,111,181,209,156,284,134,334,310,195,363,249,360,301,226,327,194,426,133,602,280,324,378,343,306,440,243,184,
249,243,240,113,186,209,157,285,137,335,313,197,364,251,360,301,227,326,191,423,132,580,280,324,373,343,306,440,247,185,
253,243,246,115,191,210,158,286,137,335,316,198,367,260,357,309,230,326,188,416,122,555,282,324,369,343,318,449,252,186,
255,243,250,117,196,210,159,286,139,332,319,200,369,268,354,317,231,325,187,409,116,536,283,324,366,342,333,461,255,186,
258,243,254,119,200,210,161,284,142,327,321,201,371,277,352,325,233,324,185,399,106,516,284,324,364,340,334,475,259,187,
260,243,257,120,204,210,164,282,146,321,323,203,371,278,352,325,234,323,184,391,101,499,284,324,364,338,334,486,261,187,
262,243,261,121,206,210,167,281,150,318,325,204,372,279,353,323,235,322,184,384,96,484,285,324,364,336,318,496,264,188,
264,243,264,123,209,210,170,280,153,318,327,205,372,281,353,320,236,322,184,377,96,468,286,324,364,334,302,506,267,188,
266,243,267,124,210,210,173,279,157,319,328,206,371,281,356,316,236,322,186,373,97,459,286,324,364,333,301,506,270,189,
267,243,269,124,211,210,175,279,160,320,329,207,369,279,362,313,237,321,188,369,99,449,287,324,364,333,301,505,271,189,
268,243,270,125,214,210,178,279,163,322,330,207,366,273,362,312,238,321,189,365,100,441,287,324,365,333,300,503,273,189,
